Source	Target	Weight
100050	114300	5.45931
100050	119500	5.54385
100050	305400	6.4296
100050	601353	5.32557
100050	606851	5.2288
100070	122455	4.70701
100070	144250	4.31258
100070	208000	4.40279
100070	601367	4.44208
100070	608318	5.30694
100100	134780	3.97453
100100	185120	4.32163
100100	248340	4.62195
100100	268310	3.9487
100100	601389	3.95166
100200	134100	5.25776
100200	136480	3.88676
100200	164100	6.0786
100200	178330	6.40204
100200	258400	5.26694
100200	601536	4.60177
100200	607034	6.00998
100300	106260	5.35987
100300	225000	5.26616
100300	225060	5.18507
100300	256520	5.38186
100300	264480	5.19538
100600	191482	4.52805
100600	234030	4.28128
100600	257960	4.31632
100600	601345	4.16919
100600	602511	3.87678
100600	608600	4.78147
100675	204800	5.4495
100675	206400	6.04391
100675	237450	6.03672
100675	237550	5.49549
100675	276500	5.4495
100675	308600	5.06977
100700	129600	5.75868
100700	169300	6.34288
100700	192200	5.70486
100700	236660	5.47145
100700	248760	5.0969
100700	248770	5.52961
100700	249300	5.70048
100800	160900	4.27719
100800	177170	4.60627
100800	309900	4.28589
100800	601803	4.12371
100800	607014	4.2594
100820	121800	4.63692
100820	137130	3.11006
100820	138070	4.28694
100820	217500	4.63528
100820	217520	4.84829
100820	219750	4.21037
100820	300494	4.76599
100820	300497	4.76599
101000	131445	4.82566
101000	162091	5.64345
101000	162210	4.76472
101000	162260	5.43199
101000	168000	4.38847
101000	256700	4.61842
101000	607174	6.05199
101120	123150	6.12071
101120	174700	6.22644
101120	176700	6.01657
101120	180750	6.57244
101120	186200	6.36699
101120	218090	6.19803
101200	101600	5.80955
101200	101800	5.51508
101200	117550	4.99179
101200	123500	5.115
101200	123790	5.62781
101200	200990	5.75736
101200	207410	4.98279
101200	218600	5.35235
101200	235730	5.95664
101200	268400	5.15302
101200	300373	4.95983
101200	303600	5.07069
101200	305450	6.12435
101200	305600	5.51111
101200	601803	5.90866
101400	101600	6.04536
101400	123500	5.36303
101400	148820	5.51962
101400	157900	5.41054
101400	180750	6.53522
101400	201050	5.95635
101400	206920	6.01202
101400	218600	5.40788
101400	233500	5.76932
101400	239800	6.66328
101400	249420	5.52992
101400	271960	4.84864
101400	272440	5.83476
101400	600920	5.67983
101400	602249	5.94236
101400	607872	5.00208
101400	608572	6.10247
101600	101200	5.80955
101600	101400	6.04536
101600	123500	7.07827
101600	123790	6.00397
101600	135100	4.73222
101600	180750	5.74339
101800	101200	5.51508
101800	119600	5.17493
101800	150250	5.68529
101800	166250	5.58989
101800	166350	4.41429
101800	190351	5.28875
101800	210600	5.31104
101800	216400	5.07423
101800	269500	5.13801
101800	277590	5.39039
101800	311300	5.63725
101805	172880	4.66262
101805	263750	4.65995
101805	277990	4.99342
101805	601349	4.9738
101805	606851	4.72924
101840	101850	7.45928
101840	133200	5.33962
101840	148520	5.68166
101840	244850	5.70991
101840	278150	5.88395
101850	101840	7.45928
101850	101900	4.90331
101850	145200	5.03955
101850	148520	6.38134
101850	148700	5.91421
101850	244850	6.61472
101850	602036	6.08331
101900	101850	4.90331
101900	148520	4.79001
101900	148600	4.56851
101900	169600	4.50908
101900	175860	4.89465
101900	175900	4.89351
102000	103400	6.45805
102000	151620	4.33181
102000	158100	8.72429
102000	189000	8.72429
102000	189100	8.72429
102000	189200	7.75776
102000	189230	8.72638
102000	265140	4.30682
102100	119000	6.23592
102100	125600	5.61467
102100	129200	5.98179
102100	136500	5.44345
102100	164900	4.86973
102100	182200	4.72515
102100	268850	5.8849
102100	601341	3.72654
102150	109900	5.7224
102150	119900	2.80416
102150	210745	4.73132
102150	300360	4.73089
102150	602249	5.02432
102150	603572	5.50115
102200	104600	5.04561
102200	144800	3.60235
102200	160980	4.00284
102200	171420	3.68975
102200	174800	3.81938
102200	219080	3.76803
102300	158100	4.04343
102300	189000	4.04343
102300	189100	4.04343
102300	272620	4.2786
102300	608831	6.19111
102350	121350	4.56081
102350	122580	6.25061
102350	177100	5.5873
102350	181300	6.22678
102350	260660	4.20517
102350	310095	4.86773
102370	112910	5.52714
102370	113100	5.43342
102370	118610	4.74119
102370	185600	5.38638
102370	192700	3.74477
102370	211800	3.58762
102370	221800	4.44717
102370	309630	5.35381
102370	605838	4.33158
102370	606835	6.13549
102400	109500	3.98523
102400	112600	6.86484
102400	112800	5.83064
102400	113200	5.99227
102400	167100	4.36474
102400	186200	6.0978
102400	259610	5.06495
102400	602585	5.94587
102490	120330	4.44014
102490	120400	5.66625
102490	185750	5.27412
102490	257850	4.75909
102490	274205	5.07301
102490	607323	5.5814
102500	135900	5.16736
102500	180700	5.15146
102500	182212	5.28195
102500	305620	5.15675
102500	600330	5.48641
102510	112500	6.68107
102510	113200	7.11665
102510	126050	6.36548
102510	173800	4.81567
102510	174100	5.3293
102510	174200	7.01765
102510	174400	7.10398
102510	183802	5.33449
102510	186300	7.47045
102510	200700	5.23229
102510	277300	4.94853
102510	300233	5.33175
102510	605967	7.88533
102510	607132	5.83745
102520	113470	4.73836
102520	124100	3.29751
102520	163850	4.29577
102520	174100	4.86499
102520	193000	5.68573
102520	225290	4.94725
102520	314550	4.79145
102520	602085	5.30678
102520	603194	4.36629
102520	604380	5.80651
102530	243060	4.53071
102530	258150	5.53429
102530	309120	4.3235
102530	415000	3.91896
102530	605339	3.95412
102650	106995	6.9214
102650	143050	5.89077
102650	155500	5.36132
102650	174400	7.54817
102650	174700	7.37399
102650	175690	7.59613
102650	185650	5.86142
102650	185700	6.27321
102650	185750	6.87687
102650	186550	5.68706
102650	226110	5.36939
102650	226985	4.91109
102650	300233	6.01523
102650	600095	6.03819
102650	605289	7.018
102650	607324	7.42171
102650	607539	7.72845
102660	114480	4.04414
102660	151020	4.28019
102660	155720	4.67314
102660	156240	3.49813
102660	157860	4.28019
102660	259500	6.7203
102700	202700	4.58449
102700	265120	3.89514
102700	300400	5.24327
102700	301000	5.02232
102700	308240	4.44341
102700	601457	4.93499
102700	601859	4.43103
102700	603554	4.65139
102800	134700	4.4982
102800	141700	6.44998
102800	147540	3.71073
102800	166900	5.75928
102800	166910	5.82793
102800	172150	7.21781
102800	185010	5.92746
102800	205700	5.4603
102800	225450	9.6944
102800	230450	5.08015
102800	231900	6.26412
102800	270970	6.58024
102800	600461	4.55771
102800	601608	3.91719
102800	607279	7.33326
102900	133100	5.3862
102900	137280	3.97958
102900	182170	5.68398
102900	194320	6.47734
102900	206300	5.8943
102900	222800	6.45608
102900	230430	5.19324
102900	230450	5.68395
102900	231900	7.39746
102900	243080	4.50115
102900	258920	5.22868
102900	266120	5.6961
102900	603528	4.01124
103050	239510	5.5043
103050	240600	5.47589
103050	272300	4.53515
103050	273770	5.18127
103050	300352	5.3817
103050	601161	4.59442
103050	601378	4.18629
103050	606056	5.0342
103050	608643	4.08075
103050	608688	5.06225
103100	129750	4.54067
103100	156600	4.3529
103100	159420	4.47405
103100	165000	5.13413
103100	178800	4.87202
103200	145981	3.43186
